Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 6 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southwest
Location name (ESRI Maps): Shaver Lake, California, USA
Station Name: -
Latitude: 37.4000 Degree
Longitude: -119.2000 Degree
Elevation (USGS): 7147 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.165,0.213,0.280,0.337,0.420,0.488,0.560,0.640,0.755,0.851
10-min:, 0.237,0.306,0.401,0.483,0.602,0.699,0.803,0.917,1.08,1.22
15-min:, 0.286,0.370,0.485,0.584,0.728,0.845,0.971,1.11,1.31,1.48
30-min:, 0.391,0.505,0.663,0.799,0.995,1.16,1.33,1.52,1.79,2.02
60-min:, 0.509,0.658,0.863,1.04,1.30,1.50,1.73,1.97,2.33,2.62
2-hr:, 0.757,0.960,1.24,1.49,1.84,2.13,2.45,2.79,3.29,3.71
3-hr:, 0.948,1.19,1.53,1.82,2.25,2.60,2.98,3.39,3.99,4.49
6-hr:, 1.41,1.76,2.24,2.66,3.26,3.76,4.29,4.86,5.70,6.40
12-hr:, 2.09,2.65,3.42,4.08,5.02,5.78,6.58,7.44,8.68,9.69
24-hr:, 2.89,3.78,4.99,6.01,7.44,8.58,9.78,11.1,12.9,14.4
2-day:, 3.84,5.13,6.87,8.32,10.4,12.0,13.7,15.5,18.1,20.2
3-day:, 4.42,5.97,8.04,9.78,12.2,14.2,16.2,18.4,21.5,23.9
4-day:, 4.87,6.58,8.87,10.8,13.5,15.6,17.9,20.2,23.6,26.3
7-day:, 5.89,7.89,10.6,12.8,15.9,18.4,20.9,23.6,27.4,30.5
10-day:, 6.67,8.88,11.8,14.3,17.7,20.3,23.1,26.0,30.1,33.3
20-day:, 8.72,11.6,15.3,18.4,22.5,25.7,28.9,32.3,36.9,40.4
30-day:, 10.7,14.2,18.7,22.3,27.1,30.7,34.4,38.1,43.1,46.9
45-day:, 13.4,17.7,23.0,27.3,32.8,36.8,40.9,44.9,50.2,54.2
60-day:, 15.9,20.9,27.0,31.7,37.8,42.2,46.5,50.8,56.3,60.4

Date/time (GMT):  Tue Sep 15 19:39:59 2026
pyRunTime:  0.018091678619384766
