Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 6 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southwest
Location name (ESRI Maps): None
Station Name: None
Latitude: 32.81230 Degree
Longitude: -117.26770 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.115,0.146,0.185,0.217,0.261,0.295,0.329,0.365,0.413,0.451
10-min:, 0.166,0.209,0.265,0.311,0.374,0.422,0.472,0.523,0.592,0.646
15-min:, 0.200,0.252,0.321,0.377,0.452,0.511,0.570,0.632,0.716,0.782
30-min:, 0.278,0.350,0.445,0.523,0.628,0.709,0.791,0.877,0.993,1.08
60-min:, 0.394,0.496,0.631,0.740,0.889,1.00,1.12,1.24,1.41,1.54
2-hr:, 0.546,0.680,0.854,0.996,1.19,1.34,1.49,1.64,1.86,2.02
3-hr:, 0.657,0.815,1.02,1.19,1.42,1.59,1.77,1.95,2.20,2.39
6-hr:, 0.885,1.10,1.38,1.60,1.90,2.13,2.36,2.60,2.92,3.16
12-hr:, 1.17,1.46,1.85,2.15,2.56,2.86,3.16,3.47,3.87,4.18
24-hr:, 1.45,1.84,2.35,2.74,3.26,3.65,4.03,4.41,4.91,5.29
2-day:, 1.78,2.28,2.91,3.41,4.07,4.55,5.04,5.52,6.16,6.64
3-day:, 1.99,2.56,3.28,3.86,4.61,5.18,5.73,6.30,7.03,7.59
4-day:, 2.16,2.79,3.60,4.24,5.07,5.70,6.32,6.95,7.77,8.39
7-day:, 2.55,3.34,4.36,5.16,6.22,7.01,7.79,8.58,9.62,10.4
10-day:, 2.84,3.77,4.94,5.87,7.10,8.02,8.94,9.87,11.1,12.0
20-day:, 3.41,4.58,6.06,7.24,8.80,9.98,11.1,12.3,13.9,15.1
30-day:, 4.02,5.42,7.19,8.61,10.5,11.9,13.3,14.8,16.7,18.2
45-day:, 4.74,6.36,8.44,10.1,12.3,14.0,15.7,17.4,19.7,21.5
60-day:, 5.49,7.31,9.65,11.5,14.1,16.0,17.9,19.9,22.5,24.6

Date/time (GMT):  Sat Sep 19 12:45:31 2026
pyRunTime:  0.01777338981628418
